Rank    Vertex              Tree      Parent              
----------------------------------------------------------
       0         12345678910         1         21345678910
       0         12345678910         2         13425678910
       0         12345678910         3         12435678910
       0         12345678910         4         12354678910
       0         12345678910         5         12346578910
       0         12345678910         6         12345768910
       0         12345678910         7         12345687910
       0         12345678910         8         12345679810
       0         12345678910         9         12345678109
       0         12345678109         1         21345678910
       0         12345678109         2         13245678910
       0         12345678109         3         12435678910
       0         12345678109         4         12354678910
       0         12345678109         5         12346578910
       0         12345678109         6         12345768910
       0         12345678109         7         12345687910
       0         12345678109         8         12345679810
       0         12345678109         9         12345678910
       0         12345679810         1         21345679810
       0         12345679810         2         13425679810
       0         12345679810         3         12435679810
       0         12345679810         4         12354679810
       0         12345679810         5         12346579810
       0         12345679810         6         12345769810
       0         12345679810         7         12345697810
       0         12345679810         8         12345679108
       0         12345679810         9         12345679108
       0         12345679108         1         21345679108
       0         12345679108         2         13245679108
       0         12345679108         3         12435679108
       0         12345679108         4         12354679108
       0         12345679108         5         12346579108
       0         12345679108         6         12345769108
       0         12345679108         7         12345697108
       0         12345679108         8         12345679810
       0         12345679108         9         12345671098
       0         12345671089         1         21345671089
       0         12345671089         2         13245671089
       0         12345671089         3         12435671089
       0         12345671089         4         12354671089
       0         12345671089         5         12346571089
       0         12345671089         6         12345761089
       0         12345671089         7         12345610789
       0         12345671089         8         12345671098
       0         12345671089         9         12345678109
       0         12345671098         1         21345671098
       0         12345671098         2         13245671098
       0         12345671098         3         12435671098
       0         12345671098         4         12354671098
       0         12345671098         5         12346571098
       0         12345671098         6         12345761098
       0         12345671098         7         12345610798
       0         12345671098         8         12345679108
       0         12345671098         9         12345671089
       0         12345687910         1         12345689710
       0         12345687910         2         13425687910
       0         12345687910         3         12345689710
       0         12345687910         4         12345689710
       0         12345687910         5         12345689710
       0         12345687910         6         12345689710
       0         12345687910         7         12345689710
       0         12345687910         8         12345689710
       0         12345687910         9         12345687109
       0         12345687109         1         12345687910
       0         12345687109         2         21345687109
       0         12345687109         3         13245687109
       0         12345687109         4         12435687109
       0         12345687109         5         12354687109
       0         12345687109         6         12346587109
       0         12345687109         7         12345867109
       0         12345687109         8         12345681079
       0         12345687109         9         12345678109
       0         12345689710         1         21345689710
       0         12345689710         2         13425689710
       0         12345689710         3         12435689710
       0         12345689710         4         12354689710
       0         12345689710         5         12346589710
       0         12345689710         6         12345869710
       0         12345689710         7         12345689107
       0         12345689710         8         12345698710
       0         12345689710         9         12345689107
       0         12345689107         1         21345689107
       0         12345689107         2         13245689107
       0         12345689107         3         12435689107
       0         12345689107         4         12354689107
       0         12345689107         5         12346589107
       0         12345689107         6         12345869107
       0         12345689107         7         12345689710
       0         12345689107         8         12345698107
       0         12345689107         9         12345681097
       0         12345681079         1         21345681079
       0         12345681079         2         13245681079
       0         12345681079         3         12435681079
       0         12345681079         4         12354681079
       0         12345681079         5         12346581079
       0         12345681079         6         12345861079
       0         12345681079         7         12345681097
       0         12345681079         8         12345610879
       0         12345681079         9         12345687109
       0         12345681097         1         21345681097
       0         12345681097         2         13245681097
       0         12345681097         3         12435681097
       0         12345681097         4         12354681097
       0         12345681097         5         12346581097
       0         12345681097         6         12345861097
       0         12345681097         7         12345689107
       0         12345681097         8         12345610897
       0         12345681097         9         12345681079
       0         12345697810         1         21345697810
       0         12345697810         2         13425697810
       0         12345697810         3         12435697810
       0         12345697810         4         12354697810
       0         12345697810         5         12346597810
       0         12345697810         6         12345967810
       0         12345697810         7         12345698710
       0         12345697810         8         12345697108
       0         12345697810         9         12345697108
       0         12345697108         1         21345697108
       0         12345697108         2         13245697108
       0         12345697108         3         12435697108
       0         12345697108         4         12354697108
       0         12345697108         5         12346597108
       0         12345697108         6         12345967108
       0         12345697108         7         12345691078
       0         12345697108         8         12345697810
       0         12345697108         9         12345679108
       0         12345698710         1         21345698710
       0         12345698710         2         13425698710
       0         12345698710         3         12435698710
       0         12345698710         4         12354698710
       0         12345698710         5         12346598710
       0         12345698710         6         12345968710
       0         12345698710         7         12345698107
       0         12345698710         8         12345697810
       0         12345698710         9         12345698107
       0         12345698107         1         21345698107
       0         12345698107         2         13245698107
       0         12345698107         3         12435698107
       0         12345698107         4         12354698107
       0         12345698107         5         12346598107
       0         12345698107         6         12345968107
       0         12345698107         7         12345698710
       0         12345698107         8         12345691087
       0         12345698107         9         12345689107
       0         12345691078         1         21345691078
       0         12345691078         2         13245691078
       0         12345691078         3         12435691078
       0         12345691078         4         12354691078
       0         12345691078         5         12346591078
       0         12345691078         6         12345961078
       0         12345691078         7         12345691087
       0         12345691078         8         12345697108
       0         12345691078         9         12345610978
       0         12345691087         1         21345691087
       0         12345691087         2         13245691087
       0         12345691087         3         12435691087
       0         12345691087         4         12354691087
       0         12345691087         5         12346591087
       0         12345691087         6         12345961087
       0         12345691087         7         12345698107
       0         12345691087         8         12345691078
       0         12345691087         9         12345610987
       0         12345610789         1         21345610789
       0         12345610789         2         13245610789
       0         12345610789         3         12435610789
       0         12345610789         4         12354610789
       0         12345610789         5         12346510789
       0         12345610789         6         12345106789
       0         12345610789         7         12345610879
       0         12345610789         8         12345610798
       0         12345610789         9         12345671089
       0         12345610798         1         21345610798
       0         12345610798         2         13245610798
       0         12345610798         3         12435610798
       0         12345610798         4         12354610798
       0         12345610798         5         12346510798
       0         12345610798         6         12345106798
       0         12345610798         7         12345610978
       0         12345610798         8         12345671098
       0         12345610798         9         12345610789
       0         12345610879         1         21345610879
       0         12345610879         2         13245610879
       0         12345610879         3         12435610879
       0         12345610879         4         12354610879
       0         12345610879         5         12346510879
       0         12345610879         6         12345106879
       0         12345610879         7         12345610897
       0         12345610879         8         12345610789
       0         12345610879         9         12345681079
       0         12345610897         1         21345610897
       0         12345610897         2         13245610897
       0         12345610897         3         12435610897
       0         12345610897         4         12354610897
       0         12345610897         5         12346510897
       0         12345610897         6         12345106897
       0         12345610897         7         12345681097
       0         12345610897         8         12345610987
       0         12345610897         9         12345610879
       0         12345610978         1         21345610978
       0         12345610978         2         13245610978
       0         12345610978         3         12435610978
       0         12345610978         4         12354610978
       0         12345610978         5         12346510978
       0         12345610978         6         12345106978
       0         12345610978         7         12345610987
       0         12345610978         8         12345691078
       0         12345610978         9         12345610798
       0         12345610987         1         21345610987
       0         12345610987         2         13245610987
       0         12345610987         3         12435610987
       0         12345610987         4         12354610987
       0         12345610987         5         12346510987
       0         12345610987         6         12345106987
       0         12345610987         7         12345691087
       0         12345610987         8         12345610978
       0         12345610987         9         12345610897
       0         12345768910         1         12345786910
       0         12345768910         2         13425768910
       0         12345768910         3         12345786910
       0         12345768910         4         12345786910
       0         12345768910         5         12345786910
       0         12345768910         6         12345786910
       0         12345768910         7         12345786910
       0         12345768910         8         12345786910
       0         12345768910         9         12345768109
       0         12345768109         1         12345768910
       0         12345768109         2         21345768109
       0         12345768109         3         13245768109
       0         12345768109         4         12435768109
       0         12345768109         5         12354768109
       0         12345768109         6         12347568109
       0         12345768109         7         12345786109
       0         12345768109         8         12345678109
       0         12345768109         9         12345761089
       0         12345769810         1         21345769810
       0         12345769810         2         13425769810
       0         12345769810         3         12435769810
       0         12345769810         4         12354769810
       0         12345769810         5         12347569810
       0         12345769810         6         12345796810
       0         12345769810         7         12345679810
       0         12345769810         8         12345769108
       0         12345769810         9         12345769108
       0         12345769108         1         21345769108
       0         12345769108         2         13245769108
       0         12345769108         3         12435769108
       0         12345769108         4         12354769108
       0         12345769108         5         12347569108
       0         12345769108         6         12345796108
       0         12345769108         7         12345679108
       0         12345769108         8         12345769810
       0         12345769108         9         12345761098
       0         12345761089         1         21345761089
       0         12345761089         2         13245761089
       0         12345761089         3         12435761089
       0         12345761089         4         12354761089
       0         12345761089         5         12347561089
       0         12345761089         6         12345710689
       0         12345761089         7         12345671089
       0         12345761089         8         12345761098
       0         12345761089         9         12345768109
       0         12345761098         1         21345761098
       0         12345761098         2         13245761098
       0         12345761098         3         12435761098
       0         12345761098         4         12354761098
       0         12345761098         5         12347561098
       0         12345761098         6         12345710698
       0         12345761098         7         12345671098
       0         12345761098         8         12345769108
       0         12345761098         9         12345761089
       0         12345786910         1         12345789610
       0         12345786910         2         13425786910
       0         12345786910         3         12345789610
       0         12345786910         4         12345789610
       0         12345786910         5         12345789610
       0         12345786910         6         12345789610
       0         12345786910         7         12345789610
       0         12345786910         8         12345789610
       0         12345786910         9         12345786109
       0         12345786109         1         12345786910
       0         12345786109         2         21345786109
       0         12345786109         3         13245786109
       0         12345786109         4         12435786109
       0         12345786109         5         12354786109
       0         12345786109         6         12347586109
       0         12345786109         7         12345781069
       0         12345786109         8         12345876109
       0         12345786109         9         12345768109
       0         12345789610         1         21345789610
       0         12345789610         2         13425789610
       0         12345789610         3         12435789610
       0         12345789610         4         12354789610
       0         12345789610         5         12347589610
       0         12345789610         6         12345789106
       0         12345789610         7         12345879610
       0         12345789610         8         12345798610
       0         12345789610         9         12345789106
       0         12345789106         1         21345789106
       0         12345789106         2         13245789106
       0         12345789106         3         12435789106
       0         12345789106         4         12354789106
       0         12345789106         5         12347589106
       0         12345789106         6         12345789610
       0         12345789106         7         12345879106
       0         12345789106         8         12345798106
       0         12345789106         9         12345781096
       0         12345781069         1         21345781069
       0         12345781069         2         13245781069
       0         12345781069         3         12435781069
       0         12345781069         4         12354781069
       0         12345781069         5         12347581069
       0         12345781069         6         12345781096
       0         12345781069         7         12345871069
       0         12345781069         8         12345710869
       0         12345781069         9         12345786109
       0         12345781096         1         21345781096
       0         12345781096         2         13245781096
       0         12345781096         3         12435781096
       0         12345781096         4         12354781096
       0         12345781096         5         12347581096
       0         12345781096         6         12345789106
       0         12345781096         7         12345871096
       0         12345781096         8         12345710896
       0         12345781096         9         12345781069
       0         12345796810         1         21345796810
       0         12345796810         2         13425796810
       0         12345796810         3         12435796810
       0         12345796810         4         12354796810
       0         12345796810         5         12347596810
       0         12345796810         6         12345798610
       0         12345796810         7         12345976810
       0         12345796810         8         12345796108
       0         12345796810         9         12345796108
       0         12345796108         1         21345796108
       0         12345796108         2         13245796108
       0         12345796108         3         12435796108
       0         12345796108         4         12354796108
       0         12345796108         5         12347596108
       0         12345796108         6         12345791068
       0         12345796108         7         12345976108
       0         12345796108         8         12345796810
       0         12345796108         9         12345769108
       0         12345798610         1         21345798610
       0         12345798610         2         13425798610
       0         12345798610         3         12435798610
       0         12345798610         4         12354798610
       0         12345798610         5         12347598610
       0         12345798610         6         12345798106
       0         12345798610         7         12345978610
       0         12345798610         8         12345796810
       0         12345798610         9         12345798106
       0         12345798106         1         21345798106
       0         12345798106         2         13245798106
       0         12345798106         3         12435798106
       0         12345798106         4         12354798106
       0         12345798106         5         12347598106
       0         12345798106         6         12345798610
       0         12345798106         7         12345978106
       0         12345798106         8         12345791086
       0         12345798106         9         12345789106
       0         12345791068         1         21345791068
       0         12345791068         2         13245791068
       0         12345791068         3         12435791068
       0         12345791068         4         12354791068
       0         12345791068         5         12347591068
       0         12345791068         6         12345791086
       0         12345791068         7         12345971068
       0         12345791068         8         12345796108
       0         12345791068         9         12345710968
       0         12345791086         1         21345791086
       0         12345791086         2         13245791086
       0         12345791086         3         12435791086
       0         12345791086         4         12354791086
       0         12345791086         5         12347591086
       0         12345791086         6         12345798106
       0         12345791086         7         12345971086
       0         12345791086         8         12345791068
       0         12345791086         9         12345710986
       0         12345710689         1         21345710689
       0         12345710689         2         13245710689
       0         12345710689         3         12435710689
       0         12345710689         4         12354710689
       0         12345710689         5         12347510689
       0         12345710689         6         12345710869
       0         12345710689         7         12345107689
       0         12345710689         8         12345710698
       0         12345710689         9         12345761089
       0         12345710698         1         21345710698
       0         12345710698         2         13245710698
       0         12345710698         3         12435710698
       0         12345710698         4         12354710698
       0         12345710698         5         12347510698
       0         12345710698         6         12345710968
       0         12345710698         7         12345107698
       0         12345710698         8         12345761098
       0         12345710698         9         12345710689
       0         12345710869         1         21345710869
       0         12345710869         2         13245710869
       0         12345710869         3         12435710869
       0         12345710869         4         12354710869
       0         12345710869         5         12347510869
       0         12345710869         6         12345710896
       0         12345710869         7         12345107869
       0         12345710869         8         12345710689
       0         12345710869         9         12345781069
       0         12345710896         1         21345710896
       0         12345710896         2         13245710896
       0         12345710896         3         12435710896
       0         12345710896         4         12354710896
       0         12345710896         5         12347510896
       0         12345710896         6         12345781096
       0         12345710896         7         12345107896
       0         12345710896         8         12345710986
       0         12345710896         9         12345710869
       0         12345710968         1         21345710968
       0         12345710968         2         13245710968
       0         12345710968         3         12435710968
       0         12345710968         4         12354710968
       0         12345710968         5         12347510968
       0         12345710968         6         12345710986
       0         12345710968         7         12345107968
       0         12345710968         8         12345791068
       0         12345710968         9         12345710698
       0         12345710986         1         21345710986
       0         12345710986         2         13245710986
       0         12345710986         3         12435710986
       0         12345710986         4         12354710986
       0         12345710986         5         12347510986
       0         12345710986         6         12345791086
       0         12345710986         7         12345107986
       0         12345710986         8         12345710968
       0         12345710986         9         12345710896
       0         12345867910         1         12345869710
       0         12345867910         2         13425867910
       0         12345867910         3         12345869710
       0         12345867910         4         12345869710
       0         12345867910         5         12345869710
       0         12345867910         6         12345869710
       0         12345867910         7         12345869710
       0         12345867910         8         12345869710
       0         12345867910         9         12345867109
       0         12345867109         1         12345867910
       0         12345867109         2         21345867109
       0         12345867109         3         13245867109
       0         12345867109         4         12435867109
       0         12345867109         5         12354867109
       0         12345867109         6         12348567109
       0         12345867109         7         12345876109
       0         12345867109         8         12345861079
       0         12345867109         9         12345687109
       0         12345869710         1         21345869710
       0         12345869710         2         13425869710
       0         12345869710         3         12435869710
       0         12345869710         4         12354869710
       0         12345869710         5         12348569710
       0         12345869710         6         12345896710
       0         12345869710         7         12345869107
       0         12345869710         8         12345689710
       0         12345869710         9         12345869107
       0         12345869107         1         21345869107
       0         12345869107         2         13245869107
       0         12345869107         3         12435869107
       0         12345869107         4         12354869107
       0         12345869107         5         12348569107
       0         12345869107         6         12345896107
       0         12345869107         7         12345869710
       0         12345869107         8         12345689107
       0         12345869107         9         12345861097
       0         12345861079         1         21345861079
       0         12345861079         2         13245861079
       0         12345861079         3         12435861079
       0         12345861079         4         12354861079
       0         12345861079         5         12348561079
       0         12345861079         6         12345810679
       0         12345861079         7         12345861097
       0         12345861079         8         12345681079
       0         12345861079         9         12345867109
       0         12345861097         1         21345861097
       0         12345861097         2         13245861097
       0         12345861097         3         12435861097
       0         12345861097         4         12354861097
       0         12345861097         5         12348561097
       0         12345861097         6         12345810697
       0         12345861097         7         12345869107
       0         12345861097         8         12345681097
       0         12345861097         9         12345861079
       0         12345876910         1         12345879610
       0         12345876910         2         13425876910
       0         12345876910         3         12345879610
       0         12345876910         4         12345879610
       0         12345876910         5         12345879610
       0         12345876910         6         12345879610
       0         12345876910         7         12345879610
       0         12345876910         8         12345879610
       0         12345876910         9         12345876109
       0         12345876109         1         12345876910
       0         12345876109         2         21345876109
       0         12345876109         3         13245876109
       0         12345876109         4         12435876109
       0         12345876109         5         12354876109
       0         12345876109         6         12348576109
       0         12345876109         7         12345871069
       0         12345876109         8         12345867109
       0         12345876109         9         12345786109
       0         12345879610         1         21345879610
       0         12345879610         2         13425879610
       0         12345879610         3         12435879610
       0         12345879610         4         12354879610
       0         12345879610         5         12348579610
